block_id	seq_id	bin_id	start	end	seq_id2	bin_id2	start2	end2	strand	block_ori	colour_block
49	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	20487196	20759900	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20582833	20861717	+	+	DroMel#1#2L
49	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20582833	20861717	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	11808344	12103254	+	+	DroMel#1#2L
50	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	21207257	21228824	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	20764243	20790166	+	+	DroMel#1#2L
50	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	20764243	20790166	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20865902	20888776	+	+	DroMel#1#2L
50	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20865902	20888776	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	15515328	15554223	+	+	DroMel#1#2L
52	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	21237764	21391900	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	20799563	20964695	+	+	DroMel#1#2L
52	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	20799563	20964695	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20898245	21057478	+	+	DroMel#1#2L
52	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	20898245	21057478	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	15570056	15712095	+	+	DroMel#1#2L
53	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	21616498	21727482	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	21751320	21916374	+	+	DroMel#1#2L
53	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	21751320	21916374	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	21313697	21449052	+	+	DroMel#1#2L
53	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	21313697	21449052	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	15754178	15864053	+	+	DroMel#1#2L
54	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	21741308	21953851	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	21999323	22227750	+	+	DroMel#1#2L
54	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	21999323	22227750	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	21490662	21708337	+	+	DroMel#1#2L
54	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	21490662	21708337	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	15868528	16137926	+	+	DroMel#1#2L
56	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	21957539	22110048	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	22231301	22382200	+	+	DroMel#1#2L
56	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	22231301	22382200	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	21711925	21853750	+	+	DroMel#1#2L
56	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	21711925	21853750	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	16142762	16286173	+	+	DroMel#1#2L
57	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	5890901	5931318	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2355587	2388617	+	+	DroMel#1#2R
57	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2355587	2388617	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3490728	3524091	+	+	DroMel#1#2R
57	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3490728	3524091	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	293437	359142	+	+	DroMel#1#2R
58	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	5973822	6018791	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2434658	2479867	+	+	DroMel#1#2R
58	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2434658	2479867	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3570817	3618311	+	+	DroMel#1#2R
58	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3570817	3618311	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	1197354	1315885	+	+	DroMel#1#2R
59	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	6021351	6036853	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2482421	2495377	+	-	DroMel#1#2R
59	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2482421	2495377	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3620875	3637424	+	-	DroMel#1#2R
59	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3620875	3637424	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	1530861	1612108	-	-	DroMel#1#2R
60	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	6063054	6069472	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2521208	2527671	+	+	DroMel#1#2R
60	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2521208	2527671	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3663882	3670350	+	+	DroMel#1#2R
60	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3663882	3670350	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	1785576	1832978	+	+	DroMel#1#2R
61	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	6080451	6254950	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2538694	2713178	+	+	DroMel#1#2R
61	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2538694	2713178	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3681422	3852035	+	+	DroMel#1#2R
61	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3681422	3852035	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	1947647	2253542	+	+	DroMel#1#2R
62	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	6501478	6819483	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2796031	3121860	+	+	DroMel#1#2R
62	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	2796031	3121860	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3908102	4228626	+	+	DroMel#1#2R
62	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	3908102	4228626	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	17008085	17372148	+	+	DroMel#1#2R
63	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	6820035	6860524	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3122420	3162645	+	-	DroMel#1#2R
63	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3122420	3162645	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	4229206	4269931	+	-	DroMel#1#2R
63	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	4229206	4269931	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	17374046	17421766	-	-	DroMel#1#2R
64	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	6861576	7011391	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3163751	3301482	+	+	DroMel#1#2R
64	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3163751	3301482	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	4270986	4406639	+	+	DroMel#1#2R
64	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	4270986	4406639	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	17426027	17587586	+	+	DroMel#1#2R
65	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	7012534	7676208	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3302616	3952808	+	-	DroMel#1#2R
65	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3302616	3952808	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	4407764	5040054	+	-	DroMel#1#2R
65	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	4407764	5040054	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	6668728	7406673	-	-	DroMel#1#2R
66	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	7676548	7924857	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3953153	4181787	+	-	DroMel#1#2R
66	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	3953153	4181787	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	5040399	5278329	+	-	DroMel#1#2R
66	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	5040399	5278329	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	17618577	17890815	-	-	DroMel#1#2R
67	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	7927705	8008161	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	4185503	4263658	+	+	DroMel#1#2R
67	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	4185503	4263658	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	5282071	5368121	+	+	DroMel#1#2R
67	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	5282071	5368121	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	3724579	3813556	+	+	DroMel#1#2R
68	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	8009125	8991946	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	4267968	5239614	+	+	DroMel#1#2R
68	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	4267968	5239614	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	5371969	6363558	+	+	DroMel#1#2R
68	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	5371969	6363558	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	3867604	5064575	+	+	DroMel#1#2R
69	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	8992987	9864506	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	5240776	6081458	+	+	DroMel#1#2R
69	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	5240776	6081458	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	6364544	7209440	+	+	DroMel#1#2R
69	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	6364544	7209440	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	21225692	22156229	+	+	DroMel#1#2R
70	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	9871758	10048623	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	6088496	6268185	+	-	DroMel#1#2R
70	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	6088496	6268185	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	7215522	7397442	+	-	DroMel#1#2R
70	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	7215522	7397442	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	17891893	18079902	-	-	DroMel#1#2R
71	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	10049560	10874409	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	6269334	7065864	+	-	DroMel#1#2R
71	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	6269334	7065864	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	7398368	8205390	+	-	DroMel#1#2R
71	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	7398368	8205390	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	7413828	8345268	-	-	DroMel#1#2R
72	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	10875832	10897802	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	7067261	7090146	+	+	DroMel#1#2R
72	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	7067261	7090146	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	8206813	8228765	+	+	DroMel#1#2R
72	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	8206813	8228765	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	17595013	17617938	+	+	DroMel#1#2R
73	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	10898445	11409554	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	7090839	7574491	+	-	DroMel#1#2R
73	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	7090839	7574491	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	8229431	8717617	+	-	DroMel#1#2R
73	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	8229431	8717617	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	8957924	9499247	-	-	DroMel#1#2R
74	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	11411407	12178544	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	7576354	8335325	+	+	DroMel#1#2R
74	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	7576354	8335325	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	8719474	9486897	+	+	DroMel#1#2R
74	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	8719474	9486897	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	10970410	11847670	+	+	DroMel#1#2R
75	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	12180712	12518708	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	8337012	8676637	+	-	DroMel#1#2R
75	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	8337012	8676637	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	9488568	9833244	+	-	DroMel#1#2R
75	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	9488568	9833244	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	9499934	9866626	-	-	DroMel#1#2R
76	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	12519552	12879609	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	8677486	9006486	+	-	DroMel#1#2R
76	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	8677486	9006486	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	9834093	10171456	+	-	DroMel#1#2R
76	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	9834093	10171456	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	3334925	3719369	-	-	DroMel#1#2R
77	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	12880320	13042778	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	9007082	9169946	+	+	DroMel#1#2R
77	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	9007082	9169946	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	10172023	10337592	+	+	DroMel#1#2R
77	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	10172023	10337592	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	5843461	6067564	+	+	DroMel#1#2R
78	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	13043851	13167219	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	9171112	9299655	+	+	DroMel#1#2R
78	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	9171112	9299655	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	10338738	10457711	+	+	DroMel#1#2R
78	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	10338738	10457711	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	10841090	10968674	+	+	DroMel#1#2R
79	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	13169078	13960244	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	9301443	10075264	+	-	DroMel#1#2R
79	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	9301443	10075264	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	10459520	11242461	+	-	DroMel#1#2R
79	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	10459520	11242461	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	2339689	3235560	-	-	DroMel#1#2R
80	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	13961097	13990672	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10076137	10105570	+	-	DroMel#1#2R
80	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10076137	10105570	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	11243327	11273319	+	-	DroMel#1#2R
80	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	11243327	11273319	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	16971024	17004175	-	-	DroMel#1#2R
81	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	13991523	14534432	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10106430	10625737	+	-	DroMel#1#2R
81	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10106430	10625737	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	11274179	11797811	+	-	DroMel#1#2R
81	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	11274179	11797811	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	10263298	10836914	-	-	DroMel#1#2R
83	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	14538088	14871053	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10632839	10974122	+	-	DroMel#1#2R
83	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10632839	10974122	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	11804994	12147641	+	-	DroMel#1#2R
83	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	11804994	12147641	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	9868007	10258855	-	-	DroMel#1#2R
84	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	14872284	14992002	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10975378	11085685	+	+	DroMel#1#2R
84	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	10975378	11085685	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	12148899	12261742	+	+	DroMel#1#2R
84	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	12148899	12261742	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	11848951	11990658	+	+	DroMel#1#2R
85	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	14994336	15215674	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	11088028	11290608	+	-	DroMel#1#2R
85	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	11088028	11290608	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	12264082	12462745	+	-	DroMel#1#2R
85	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	12264082	12462745	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	14738060	14973753	-	-	DroMel#1#2R
86	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	15216858	15940032	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	11291792	12020385	+	+	DroMel#1#2R
86	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	11291792	12020385	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	12463929	13185140	+	+	DroMel#1#2R
86	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	12463929	13185140	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	16074645	16970798	+	+	DroMel#1#2R
87	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	15941197	16011248	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12021539	12090382	+	+	DroMel#1#2R
87	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12021539	12090382	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13186292	13256946	+	+	DroMel#1#2R
87	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13186292	13256946	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	6071956	6147607	+	+	DroMel#1#2R
88	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	16011715	16238033	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12090847	12319183	+	-	DroMel#1#2R
88	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12090847	12319183	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13257413	13484797	+	-	DroMel#1#2R
88	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13257413	13484797	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	19969217	20223452	-	-	DroMel#1#2R
89	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	16241208	16282449	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12322204	12363463	+	+	DroMel#1#2R
89	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12322204	12363463	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13487784	13529104	+	+	DroMel#1#2R
89	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13487784	13529104	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	20234109	20282070	+	+	DroMel#1#2R
91	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	16290552	16565512	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12371412	12646738	+	+	DroMel#1#2R
91	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12371412	12646738	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13537054	13807564	+	+	DroMel#1#2R
91	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13537054	13807564	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	20286034	20619298	+	+	DroMel#1#2R
92	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	16565918	16594503	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12647219	12675688	+	-	DroMel#1#2R
92	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12647219	12675688	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13808024	13836322	+	-	DroMel#1#2R
92	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13808024	13836322	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	5075067	5111163	-	-	DroMel#1#2R
93	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	16595103	17019503	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12676395	13111756	+	-	DroMel#1#2R
93	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	12676395	13111756	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13837027	14260309	+	-	DroMel#1#2R
93	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	13837027	14260309	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	20725740	21224646	-	-	DroMel#1#2R
94	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	17022882	17118144	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	13114814	13211978	+	+	DroMel#1#2R
94	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	13114814	13211978	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	14263347	14358377	+	+	DroMel#1#2R
94	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	14263347	14358377	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	23166839	23269627	+	+	DroMel#1#2R
96	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	17126642	17591387	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	13225920	13706441	+	+	DroMel#1#2R
96	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	13225920	13706441	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	14366944	14823907	+	+	DroMel#1#2R
96	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	14366944	14823907	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	23277630	23780586	+	+	DroMel#1#2R
97	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	17592792	18166912	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	13707781	14274078	+	+	DroMel#1#2R
97	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	13707781	14274078	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	14825287	15387314	+	+	DroMel#1#2R
97	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	14825287	15387314	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	19304337	19964972	+	+	DroMel#1#2R
99	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	18175323	18631694	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	14282209	14702247	+	+	DroMel#1#2R
99	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	14282209	14702247	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	15395463	15823836	+	+	DroMel#1#2R
99	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	15395463	15823836	DroSuz#1#2R	Drosophila_suzuki_GCF_043229965.1.fasta	6151206	6667734	+	+	DroMel#1#2R
100	DroMel#1#2R	Drosophila_melanogaster_GCF_000001215.4.fasta	18632381	18709961	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	14702983	14780288	+	+	DroMel#1#2R
100	DroSech#1#2R	Drosophila_sechellia_GCF_004382195.2.fasta	14702983	14780288	DroSim#1#2R	Drosophila_simulans_GCF_016746395.2.fasta	15824580	15901967	+	+	DroMel#1#2R
